"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,0930,148.64,148.82,148.16,148.27,732637
01/07/2019,0931,148.24,148.31,147.71,147.77,343081
01/07/2019,0932,147.75,148.01,147.58,147.86,268223
01/07/2019,0933,147.85,148.11,147.66,148.06,219900
01/07/2019,0934,148.04,148.12,147.84,147.86,201664
01/07/2019,0935,147.86,147.89,147.25,147.29,262251
01/07/2019,0936,147.3,147.44,147.11,147.31,190158
01/07/2019,0937,147.32,147.35,147.03,147.03,162532
01/07/2019,0938,147.05,147.28,146.95,147.09,257730
01/07/2019,0939,147.09,147.13,146.89,147.03,235399
01/07/2019,0940,147.04,147.3,147,147,224779
01/07/2019,0941,147,147.33,147,147.26,144746
01/07/2019,0942,147.24,147.33,147.09,147.26,183411
01/07/2019,0943,147.24,147.29,146.98,147,205998
01/07/2019,0944,147.01,147.04,146.53,146.73,269222
01/07/2019,0945,146.73,146.74,146.53,146.68,196778
01/07/2019,0946,146.68,146.92,146.65,146.9,165032
01/07/2019,0947,146.89,147.06,146.8,146.93,199762
01/07/2019,0948,146.94,147.23,146.9,147.04,218922
01/07/2019,0949,147.05,147.09,146.73,146.83,164272
01/07/2019,0950,146.82,146.94,146.64,146.77,204070
01/07/2019,0951,146.75,146.76,146.43,146.47,251652
01/07/2019,0952,146.48,146.8,146.47,146.78,157626
01/07/2019,0953,146.76,146.9,146.69,146.71,174744
01/07/2019,0954,146.69,146.71,146.5,146.52,133523
01/07/2019,0955,146.51,146.72,146.5,146.72,113576
01/07/2019,0956,146.72,146.81,146.61,146.75,98088
01/07/2019,0957,146.75,146.93,146.7,146.91,116104
01/07/2019,0958,146.91,147.14,146.83,147.08,165973
01/07/2019,0959,147.07,147.35,147.01,147.3,193033
01/07/2019,1000,147.26,147.38,147.04,147.13,183804
01/07/2019,1001,147.11,147.12,146.94,147.01,125914
01/07/2019,1002,147.03,147.06,146.76,146.77,105265
01/07/2019,1003,146.8,147.17,146.79,147.14,141689
01/07/2019,1004,147.13,147.29,147.06,147.28,145930
01/07/2019,1005,147.28,147.45,147.18,147.19,182151
01/07/2019,1006,147.22,147.43,147.2,147.34,110595
01/07/2019,1007,147.33,147.4,147.24,147.39,75976
01/07/2019,1008,147.39,147.71,147.38,147.51,166493
01/07/2019,1009,147.5,147.54,147.25,147.31,107607
01/07/2019,1010,147.33,147.39,146.96,146.98,153339
01/07/2019,1011,146.99,147.06,146.87,146.96,110827
01/07/2019,1012,146.97,147.03,146.85,146.87,77843
01/07/2019,1013,146.86,146.86,146.73,146.81,82804
01/07/2019,1014,146.82,146.88,146.7,146.84,109061
01/07/2019,1015,146.84,146.96,146.73,146.89,99141
01/07/2019,1016,146.88,147.24,146.87,147.17,122585
01/07/2019,1017,147.16,147.36,147.11,147.36,97421
01/07/2019,1018,147.36,147.36,147.12,147.17,95654
01/07/2019,1019,147.19,147.43,147.11,147.38,91149
