word,count
Winning,114
Press,109
Point,98
Position,95
Remind,88
World-class,86
Last,83
Center-back,82
Performance,80
Pogba,78
Formidable,71
Stubborn,70
Benefit,69
Chelsea,68
Long-term,68
Create-chance,67
Defeat,67
Squad,66
Evidence,62
Inter,60
Mentality,60
Game-time,58
Sack,58
Match,55
End,52
Ole,51
Want,51
Star,50
Toxic,50
Excuse,49
Charisma,47
Comment,47
Familiarity,47
Enjoy,46
Two-and-a-half,45
Grab,44
Finish,43
Solve,43
Tremendous,43
Dressing-room,42
Jobless,42
Bundesliga,41
Depart,41
Loss,41
Man-management,41
Captain,40
Contract,39
Proud,39
Question,39
Coach,38
Pace,38
Sky-sports,38
B-team,37
Fan,58
Improve,36
Speak,36
Transfer,35
Arsenal,34
Fascinating,34
Goalkeeper,34
Offence,34
Seek,34
Getting,33
Making,33
Respect,33
Three-and-a-half,33
Amazing,32
Fixture,32
Realistic,32
Report,32
Talk,32
Weaken,32
Contender,31
Group-stage,31
Immediate,31
Problem,31
La-liga,30
Liability,30
Signing,30
Week,30
Challenge,29
Resolute,29
Ambitious,28
Compensation,28
Pundit,28
Trail,28
Young,28
Find,27
Pay-off,27
Becker,26
Jap,26
Johan,26
Look,26
Newcastle,26
Tomorrow,26
Touch,26
Llorente,25
Succeed,25
Rift,24
Second,24
Still,24
Terrific,24
Approach,23
Fail,23
Niasse,23
Prefer,23
Utd,23
Sun,22
Brave,22
Claim,22
Debate,22
Enable,22
Euro-sport,22
Fond,22
Normal,22
Sole,22
Trophy,22
Career,21
Dijk,21
Fitness,21
Google,21
Heed,21
International,21
Receive,21
Score-sheet,21
Similar,21
Spend,21
Acrimonious,20
Consent,20
Direct,20
Found,20
Lease,20
Left-back,20
Lindelof,20
Louis-van-haal,20
Major,20
Stagnant,20
Sure,20
Talent,20
Assess,19
Clash,19
Comfortable,19
Liverpool,19
Embarrassing,18
Free-flowing,18
Godin,18
Ham,18
Hope,18
Lack,18
Machine,18
Monaco,18
Portuguese,18
Repeat,18
Shock,18
Together,18
Appeal,17
Clear,17
Draw,17
Exacerbate,17
Immense,17
Jeopardize,17
Leave,17
Order,17
Post,17
River,17
Sitting,17
