,wtf,ptype,freq
1,abramovich,NOUN,12
3,accentuate,NOUN,7
7,account,NOUN,14
8,accuracy,NOUN,11
10,achieve,NOUN,5
17,add,VERB,6
26,advertiser,NOUN,5
27,arsenal,NOUN,5
32,age,NOUN,15
34,agree,NOUN,5
38,aim,NOUN,10
44,alienate,NOUN,7
51,ambition,NOUN,7
54,analyse,NOUN,10
56,liverpool,NOUN,8
68,appeal,NOUN,17
70,appoint,NOUN,11
71,approach,NOUN,23
79,arnold,NOUN,11
81,arrive,ADJ,8
82,arsenal,NOUN,21
84,asian,ADJ,8
85,ask,NOUN,25
87,assess,NOUN,9
88,assist,NOUN,6
92,attack,NOUN,6
93,attempt,NOUN,8
94,attitude,NOUN,16
108,b-team,FIXED,37
115,bank,NOUN,13
116,barcelona,NOUN,6
117,barkley,NOUN,8
121,battle,NOUN,5
124,beat,NOUN,7
127,becker,NOUN,26
128,beginning,VERB,7
130,beijing,NOUN,17
132,belittling,NOUN,13
135,bench,NOUN,6
136,benefit,NOUN,69
141,bestow,NOUN,14
142,betting,VERB,16
144,bilbao,NOUN,5
147,birth,NOUN,9
150,blessing,NOUN,7
153,boateng,NOUN,10
167,break,NOUN,6
169,bridge,NOUN,13
173,brought,NOUN,30
174,browser,NOUN,7
181,bundesliga,NOUN,41
183,burnley,NOUN,8
184,business,NOUN,6
186,calculate,NOUN,8
190,camacho,NOUN,10
192,camp,NOUN,5
198,career,NOUN,21
200,carry,NOUN,5
203,case,NOUN,12
206,cast,NOUN,5
210,cause,NOUN,5
215,center-back,FIXED,56
216,center-back,NOUN,26
219,cesc,NOUN,5
221,challenge,NOUN,8
227,charisma,NOUN,41
229,chelsea,NOUN,68
231,child,NOUN,5
234,chong,NOUN,7
236,chris,NOUN,5
237,chronicle,NOUN,5
240,claim,NOUN,22
241,clash,NOUN,19
245,click,NOUN,5
249,close,ADV,9
254,coach,NOUN,36
268,comment,NOUN,47
269,company,NOUN,8
271,compensation,NOUN,28
272,conc,NOUN,13
273,confirm,NOUN,12
276,consent,NOUN,15
277,consistency,NOUN,7
278,contender,NOUN,31
279,contract,NOUN,18
280,contributor,NOUN,5
283,copa,NOUN,21
284,copyright,NOUN,10
290,counsel,NOUN,6
291,counter-attack,FIXED,5
292,country,NOUN,5
293,couple,NOUN,5
294,cover,NOUN,7
297,create,NOUN,15
299,critic,NOUN,11
311,cup-winning,FIXED,57
314,custom,NOUN,12
316,daily,ADJ,10
317,damage,NOUN,5
318,dani,NOUN,5
319,dare,NOUN,8
323,dawson,NOUN,5
325,de,NOUN,14
328,debate,NOUN,17
331,decide,NOUN,15
335,defeat,NOUN,47
337,del,NOUN,14
344,deni,NOUN,5
345,depart,NOUN,25
348,describe,NOUN,9
350,destination,NOUN,5
352,exacerbate,NOUN,6
356,dijk,NOUN,16
360,dijk,NOUN,5
364,disable,ADJ,6
371,sack,NOUN,9
375,debate,NOUN,5
385,doom,NOUN,10
387,double,ADV,8
389,draft,NOUN,5
391,draw,NOUN,11
392,dressing-room,FIXED,42
396,drought,NOUN,5
399,dugout,NOUN,8
404,eager,NOUN,16
410,eddie,NOUN,5
437,enable,ADJ,8
439,end,NOUN,34
444,english,ADJ,9
447,ensure,VERB,13
448,enter,NOUN,6
463,euro,NOUN,14
464,euro-sport,FIXED,8
465,eve,NOUN,46
466,everton,NOUN,7
469,evidence,NOUN,11
473,exacerbate,NOUN,5
474,example,NOUN,5
480,expense,NOUN,22
482,explain,NOUN,5
483,extend,NOUN,10
489,face,NOUN,9
490,fact,NOUN,12
492,fall,NOUN,13
493,familiarity,NOUN,8
494,fan,NOUN,22
508,felipe,NOUN,8
509,felt,NOUN,6
510,ferguson,NOUN,6
519,fill,NOUN,6
521,find,VERB,27
522,finish,NOUN,13
523,finsh,NOUN,25
528,fitness,NOUN,9
530,fixture,NOUN,22
535,flourish,ADJ,7
538,follow,VERB,7
543,force,NOUN,5
547,fork,NOUN,14
551,forward,ADV,8
552,foster,NOUN,10
554,found,NOUN,20
555,fourth-place,FIXED,6
559,french,NOUN,6
561,free-flowing,FIXED,8
564,french,ADJ,5
566,friday,NOUN,5
571,fully-fledged,FIXED,5
